rank,team,indice_final,games_played,wins_score,sos_nonconf,sos_conf,mov_capado,fcs_adjustment,contrib_wins,contrib_sos_nonconf,contrib_sos_conf,contrib_mov,contrib_fcs
1,Indiana,2.2477871105796003,1,1.2250137915580541,0.03572085312288293,0.0,1.0,0.0,1.1796300446555203,0.06421660238746674,0.6274627897103832,0.3764776738262299,0.0
2,Notre Dame,2.159078877925583,1,1.3074682868315273,0.051175374681679694,0.35822762277175785,1.0,0.0,1.1214342943577498,0.08323241815698262,0.5965076033817818,0.35790456202906906,0.0
3,Oregon,1.950442767865539,1,1.226262236013292,0.08691058857775812,0.0,0.2916666666666667,0.0,0.9849689619235612,0.1272023489857554,0.523919660597639,0.31435179635858335,0.0
4,Ohio State,1.9411635775771536,1,0.7597776667774027,-0.1858201586774273,0.0,1.0,0.0,1.1612453376883087,-0.20837566452673698,0.6176836902597387,0.3706102141558432,0.0
5,Miami,1.7203584328658328,1,1.2566538816816732,0.0,-0.1444870610610889,1.0,0.0,0.9184416355190095,0.020264341585964272,0.48853278485053697,0.29311967091032215,0.0
6,Texas,1.5559947848325548,1,1.1398462850701112,-0.0048351023475660376,0.0,1.0,0.0,0.8328614645595249,0.014315052562795836,0.44301141731889626,0.2658068503913377,0.0
7,Ole Miss,1.5248739986782647,1,1.6086949029131934,0.13806900138723494,0.0,0.125,0.0,0.7210580327695899,0.1901495550409387,0.38354150679233506,0.23012490407540104,0.0
8,Alabama,1.3114565523410997,1,1.21269946637329,0.029856888749185732,0.0,1.0,0.0,0.677694182521805,0.05700136341775825,0.36047562900096014,0.21628537740057607,0.0
9,Texas A&M,1.2520838273085402,1,0.9237501609367437,-0.10773801860155063,0.0,1.0,0.0,0.7370811921917262,-0.11230050717401695,0.39206446393176925,0.23523867835906154,0.0
10,Penn State,1.2326379824576077,1,1.0428643674092841,-0.05101696790034086,0.0,1.0,0.0,0.6888724134477853,-0.042508825413824634,0.3664214965147794,0.21985289790886764,0.0
11,LSU,1.1959123749707556,1,1.3583732333967038,0.09922534923652566,0.0,1.0,0.0,0.5691632408193978,0.14235488664548723,0.3027464046911691,0.18164784281470145,0.0
12,Washington,1.1712458267465788,1,1.1901190664920038,0.0488662221390495,0.0,0.5833333333333334,0.0,0.5893122959112941,0.0803911513363109,0.3134639871868586,0.18807839231211515,0.0
13,USC,1.1710904969547844,2,1.045483940296513,-0.06626338308623908,0.0,0.8333333333333333,0.0,0.665757202165304,-0.06126857939375712,0.3541261713645234,0.21247570281871403,0.0
14,Michigan,1.008306398978784,1,1.0601534843899934,0.025668325899996774,0.0,0.041666666666666664,0.0,0.5167076267419515,0.05184760054155459,0.27484448230954867,0.1649066893857292,0.0
