rank,team,record,indice_final,games_played,wins_score,sos_nonconf,sos_conf,mov_capado,fcs_adjustment,contrib_wins,contrib_sos_nonconf,contrib_sos_conf,contrib_mov,contrib_fcs
81,West Virginia,2-0,-0.1856394117901714,1,0.8635096750802,-0.08582872615228565,0.0,0.2916666666666667,0.05,-0.023966978437048835,-0.08917407324620616,-0.07546057647301699,-0.04703778363389944,0.05
82,Texas State,0-2,-0.2619777148722432,2,-1.2931647275999574,0.006632348416675537,0.0,0.0,0.0,-0.18986713030384117,0.027251619820037206,-0.04322253929770237,-0.056139665090736854,0.0
83,California,1-1,-0.2909762033145977,2,-0.24876295938006332,0.001986398564418983,-0.10987222233748778,0.125,0.0,-0.1322904797467104,0.02140150468757085,-0.11950632113618731,-0.06058090711927085,0.0
84,Louisiana Tech,1-1,-0.2951217184436375,1,-1.0,0.0,0.0,0.0,0.05,-0.21611601835600638,0.018900259372756963,-0.07356238621767036,-0.07434357324271765,0.05
85,Stanford,1-1,-0.3039482299825129,2,-0.06680590388603846,-0.021958003700989128,0.0,0.4166666666666667,0.0,-0.15582627848285524,-0.008748952051149577,-0.09362634314062591,-0.04574665630788214,0.0
86,App State,2-0,-0.32194536439572624,1,1.1928723665752958,0.01148684122633138,0.0,0.125,0.05,-0.1391172156740022,0.03336432933032672,-0.15511057741657375,-0.11108190063547703,0.05
87,Rutgers,0-2,-0.3262832320001809,2,-1.575,-0.01933367106322854,0.0,0.0,0.0,-0.2205527661218416,-0.005444429065536262,-0.04379993456292973,-0.05648610224987327,0.0
88,Boston College,1-1,-0.327013977073703,2,-0.2233475476161373,-0.006280704466087372,0.0,0.2916666666666667,0.0,-0.17992492637554738,0.010991684074261083,-0.09769956063895466,-0.06038117413346204,0.0
89,Air Force,1-1,-0.335324021646407,1,-1.5618063127096622,0.0,0.07349473940861469,0.0,0.05,-0.28251238555171493,0.018900259372756963,-0.045009206713917976,-0.07670268875353103,0.05
90,Purdue,1-1,-0.3381034005126243,1,-1.540643898719985,0.013018583485716053,0.0,0.0,0.05,-0.27429850050837645,0.03529307777910994,-0.07430739766952646,-0.07479058011383131,0.05
91,Ohio,1-1,-0.3547865742842621,2,-0.28207814292006694,-0.03194011910005576,0.0,0.08333333333333333,0.0,-0.16933348114877225,-0.02131829227373975,-0.08878482347959778,-0.07534997738215234,0.0
92,UConn,1-1,-0.40146743916670646,1,-1.65,0.0,0.0,0.0,0.05,-0.30495434282050166,0.018900259372756963,-0.08450450887927895,-0.08090884683968282,0.05
93,Hawai'i,1-2,-0.42934803205431543,3,-0.7687757005435595,-0.1009778856514475,0.012984154380410746,0.4166666666666667,0.0,-0.2068148471597649,-0.10824968319648319,-0.07579325935151542,-0.03849024234655193,0.0
94,Jacksonville State,1-2,-0.4391217923996641,2,-1.5,-0.013394859542547257,0.0,0.0,0.05,-0.30894130035103873,0.0020336394136421057,-0.09500499371884502,-0.08720913774342244,0.05
95,Syracuse,1-1,-0.44392877073067205,1,-1.65,0.0,-0.02449489700419127,0.0,0.05,-0.32204422665145943,0.018900259372756963,-0.10442173836836409,-0.08636306508360547,0.05
96,Louisiana,1-1,-0.4671181437596162,1,-0.9068404658101359,0.011090420736888585,0.0,0.0,0.05,-0.3120793994137888,0.03286516218951425,-0.12981110313951638,-0.10809280339582526,0.05
97,Delaware,1-1,-0.4698694627636573,1,-1.2931487438111766,0.024625149546288496,0.0,0.0,0.05,-0.34142678936833754,0.04990790357494718,-0.1238402721613447,-0.10451030480892225,0.05
98,Temple,1-1,-0.4997847035788923,1,-1.0374999999999999,0.013392857142857142,0.0,0.0,0.05,-0.3376023686273804,0.035764357938163134,-0.13608784461097476,-0.11185884827870028,0.05
99,Colorado State,2-0,-0.5071352409475288,1,0.9262450445312832,-0.10059759784224608,0.0,0.9166666666666666,0.05,-0.2175013430419683,-0.10777083010119612,-0.1819091041794928,-0.04995396362487166,0.05
100,Troy,2-0,-0.5164097706858116,1,0.6759457536790481,-0.16324011729569143,0.0,0.125,0.05,-0.15027604231530492,-0.18664941524400067,-0.1321679743381083,-0.09731633878839778,0.05
101,Miami (OH),1-1,-0.5173351826978051,1,-1.5,0.0,0.0,0.0,0.05,-0.3603063633635793,0.018900259372756963,-0.12232683574679212,-0.1036022429601907,0.05
102,Georgia Southern,1-1,-0.5245639519144719,1,-1.4359208076218057,0.007628475283118366,0.0,0.0,0.05,-0.36630657538774697,0.028505928850601336,-0.12909822741575683,-0.10766507796156953,0.05
103,Florida Atlantic,1-1,-0.5681279706477115,2,-0.18821681216712316,0.0,0.24522125221917848,0.3333333333333333,0.0,-0.3735081887908573,0.018900259372756963,-0.09424295503178266,-0.11927708619782854,0.0
104,Kennesaw State,1-1,-0.5780316385803601,1,-1.65,-0.012308931801129656,0.0,0.0,0.05,-0.39196645007480774,0.00340102445111653,-0.13078754465284598,-0.10867866830382301,0.05
105,Western Kentucky,0-2,-0.5938473001525093,2,-1.25,0.0,0.0,0.0,0.0,-0.36255700615110364,0.018900259372756963,-0.13749025741377954,-0.11270029596038315,0.0
106,Marshall,1-1,-0.5990093470189353,2,-0.13199132725605456,-0.11520110604671212,0.0,0.08333333333333333,0.0,-0.23738425231834395,-0.12615936356600496,-0.1333666549001204,-0.10209907623446592,0.0
107,Tulsa,2-0,-0.6075972201854809,2,0.9378650432467763,-0.16636246396101972,0.0,0.4166666666666667,0.0,-0.17312188258004807,-0.19058103053398728,-0.15895216040496188,-0.08494214666648373,0.0
108,Florida International,1-1,-0.6114429789105142,2,-0.24763152084511375,-0.06602591197066904,0.0,0.5416666666666666,0.0,-0.30728436381822755,-0.06423864634894282,-0.16408731602901244,-0.0758326527143314,0.0
109,South Alabama,1-1,-0.6301312846350109,1,-1.4517190203627708,0.005747735671098735,0.0,0.0,0.05,-0.42282069423915236,0.026137727812193447,-0.15827636043496035,-0.12517195777309165,0.05
110,Liberty,1-1,-0.6318794638876339,1,-1.339787375013914,0.019072931545962613,0.0,0.0,-0.13571428571428573,-0.3270962159271346,0.042916628254426374,-0.11361215561782782,-0.09837343488281214,-0.13571428571428573
111,Oregon State,0-2,-0.6395186549910695,2,-0.9116014654733098,0.034041361359727115,0.0,0.0,0.0,-0.3940460881643535,0.061764665910328476,-0.17314443201558066,-0.13409280072146382,0.0
112,Southern Miss,1-1,-0.6675784210904214,1,-1.5,0.0,0.0,0.0,0.05,-0.44147225077108465,0.018900259372756963,-0.16550018011248646,-0.1295062495796073,0.05
113,Arkansas State,1-1,-0.6716494203956573,1,-1.4751416895197882,0.002959322676215696,0.0,0.0,0.05,-0.4444842476412546,0.022626597133714847,-0.16849101773500139,-0.13130075215311626,0.05
114,Missouri State,1-1,-0.7433209189965425,1,-1.0,0.0,0.0,0.0,0.05,-0.45824662095355284,0.018900259372756963,-0.20235525993976955,-0.15161929747597716,0.05
115,Georgia State,2-0,-0.765653468490631,1,1.1304002663439132,-0.05099987316956502,0.0,0.5833333333333334,0.05,-0.363479301259733,-0.0453180682611983,-0.270962103113523,-0.1358939958561768,0.05
116,Coastal Carolina,1-1,-0.799541872670541,1,-1.5,-0.0009963339903411906,0.0,0.0,0.05,-0.5120850949305759,0.01764568953467432,-0.20306020360157756,-0.15204226367306198,0.05
117,San José State,2-1,-0.854103356178223,2,0.04374937470010459,-0.08824695484484486,0.0,0.25,-0.007142857142857138,-0.3899652296172366,-0.09221907302407374,-0.22434451845944092,-0.1404316779346147,-0.007142857142857138
118,Sacramento State,1-2,-0.8875629280291161,2,-1.5,0.0,-0.11242133919952964,0.0,0.05,-0.5334700066982995,0.018900259372756963,-0.26412594518974875,-0.15886723551382484,0.05
119,Wyoming,1-1,-0.8985141547921386,1,-1.5,-0.0012552186906601168,0.0,0.0,-0.03571428571428571,-0.5190713545085373,0.017319705537631357,-0.20677629912176979,-0.1542719209851773,-0.03571428571428571
120,New Mexico State,1-2,-0.9151935149698549,2,-1.4708189885059857,0.0032774446306580267,0.0,0.0,0.05,-0.5760617137876312,0.02302717185338147,-0.2387205197021811,-0.1734384533334241,0.05
121,Buffalo,1-1,-0.9272291765520208,1,-1.5,-0.006719368512875798,0.0,0.0,-0.09285714285714287,-0.4999968007756584,0.0104393244363413,-0.19663025990215338,-0.14818429745340747,-0.09285714285714287
122,Rice,1-1,-0.9319451396270887,1,-1.0,0.0,0.0,0.0,0.05,-0.5601470619838479,0.018900259372756963,-0.2565576221899265,-0.18414071482607133,0.05
123,Central Michigan,1-1,-1.0643641570481879,1,-1.5,0.0,0.0,0.0,-0.10714285714285714,-0.5709344956481046,0.018900259372756963,-0.23436307632366732,-0.17082398730631582,-0.10714285714285714
124,Akron,1-1,-1.0685017940766894,1,-1.4900585362472714,0.001183507589610551,0.0,0.0,0.05,-0.658388066204196,0.020390515591516327,-0.281436313719934,-0.19906792974407583,0.05
125,Middle Tennessee,1-1,-1.073793803861544,1,-1.5,-0.014838358752776632,0.0,0.0,0.05,-0.6508281479268166,0.0002160053792660102,-0.2768596998761737,-0.19632196143781966,0.05
126,UAB,1-1,-1.0761157150002805,2,-0.4334840270131534,-0.18275708896107362,0.0,0.25,0.0,-0.47251585189592954,-0.21122491323912293,-0.2415937393789237,-0.15078121048630433,0.0
127,UTEP,1-1,-1.0809082758541193,1,-1.0,0.0,0.0,0.0,0.05,-0.6406213999455771,0.018900259372756963,-0.2993631211057399,-0.20982401417555938,0.05
